DOI,Abstract,paper_uuid,title,license
10.1016/j.rser.2021.111935,"In order to provide “affordable, reliable, sustainable and modern energy for all” by 2030 under Sustainable Development Goal 7 (SDG7), rural electrification needs significant progress as the majority of people without access to electricity reside in rural areas. Optimization methods can play a critical role in this progress, providing an analytical framework to achieve a variety of economic, social, and environmental objectives subject to budget, resources, local demographics and other constraints. This review paper presents the first overview of optimization-based solution methodologies developed or applied for rural electrification. Based on our review, we first propose four archetype problems for rural electrification, namely (i) optimal system configuration and unit sizing, (ii) optimal power dispatch strategy, (iii) optimal technology choice, and (iv) optimal network design. We discuss each problem type, and provide a systematic classification based on the problem objective, proposed solution methodology, components, scale, region as well as their relationship to the different SDG7 components. We reveal research gaps and open questions for future studies for energy researchers and aim to draw the attention of the optimization community to the challenging and unique problems that need urgent attention in this critical area.",0b7e5db6-d376-43e6-adde-83a36895cee1,Rural electrification: An overview of optimization methods,[]
10.3390/su14010453,"In this paper we investigate the economic response of rural households to the 2013 floods in Pakistan. The case study illustrates the important roles of labor supply adjustments and income diversification in coping with climate-related risks. Using detailed household panel data that were collected before and after the 2013 floods, we find that the exposure to flood results in lower participation in farm activities. The overall effects are decreased diversification in the sources of income and ambiguous reduction in inequality which is associated with overall declines in incomes. These changes could be locked in if affected households do not have sufficient assets to resume farming. The results suggest intervention points for public policy, related to labor mobility and access to capital.",b045aef4-b0aa-45a7-b9d4-1e9a399af475,Income Diversification and Income Inequality: Household Responses to the 2013 Floods in Pakistan,https://creativecommons.org/licenses/by/4.0/
10.1016/j.esr.2022.100964,"Integrated assessment models (IAMs) are a cornerstone of an effective approach to climate change mitigation. Despite the variety of methodologies for characterising the energy system, land use change, economics, and climate response, the modelling community has an open and urgent request for tools capable of more realistic interpretation of the energy transition, capturing human behaviour, and embodying the principles of transparency, reproducibility, and flexibility of use. This paper presents an open-source modelling framework designed to fill that gap. Named MUSE (ModUlar energy systems Simulation Environment), this new agent-based model supports flexible characterisation of agent decision-making, including individual goals, bounded-rationality, imperfect foresight, and limited knowledge during the decision process. MUSE integrates this agent-based approach in a partial-equilibrium framework and enables a technology-rich description of the energy systems with an unprecedented degree of flexibility for including technological, temporal, and geographical granularity. The structure of MUSE creates the ability to produce climate change mitigation assessments that are more grounded, and more tangible model outputs for conceiving effective approaches to mitigation. MUSE is available open source under a GNU General Public License v3.0 on GitHub at this link https://github.com/SGIModel/MUSE_OS.",ce6ed5ea-221e-44cd-8173-f04da6e140f4,MUSE: An open-source agent-based integrated assessment modelling framework,http://creativecommons.org/licenses/by/4.0/
10.1016/j.envsoft.2021.105091,"Integrated Assessment Models (IAMs) are important tools to analyse cross-sectoral interdependencies and the use of global resources. Most current tools are highly detailed and require expert knowledge and proprietary software to generate scenarios and analyse their insights. In this paper, the complementary Global Least-cost User-friendly CLEWs Open-Source Exploratory (GLUCOSE) model is presented as a highly-aggregated global IAM, open and accessible from source to solver and using the OSeMOSYS tool and the CLEWs framework. The model enables the exploration of policy measures on the future development of the integrated resource system. Thanks to its relatively simple structure, it requires low computational resources allowing for the generation of a large number of scenarios or to quickly conduct preliminary investigations. GLUCOSE is targeted towards education and training purposes by a range of interested parties, from students to stakeholders and decision-makers, to explore possible future pathways towards the sustainable management of global resources.",9d5ea1e2-c070-4390-8175-6b6197fb090f,The Global Least-cost user-friendly CLEWs Open-Source Exploratory model,http://creativecommons.org/licenses/by/4.0/
10.1016/j.esr.2022.100841,"Renewable energy development can enable climate-compatible growth in low- and middle-income countries, particularly given the substantial opportunities for energy export to high-income countries seeking to decarbonise their energy systems. However, this also comes with significant risks, including the potential to trigger a resource curse of adverse social, environmental, and economic effects resulting in paradoxically slowed growth. Here, we propose a novel framework to assess potential risks associated with renewable energy development in low- and middle-income countries rooted in the resource curse literature. Eighteen symptoms of the resource curse are evaluated in terms of relevance to renewable energy, and their potential risks and benefits during renewable energy development are established. We find that context-specific factors are key in determining whether resource developments will provoke adverse impacts or positive opportunities; so, preemptive context-specific risk assessment is needed to implement prevention and mitigation strategies. For example, while fossil fuel development has been seen in some circumstances to increase dependence on external capital and technology, where adequate education and financing strategies are implemented, it can instead enhance autonomy and development. Similar risks can apply to renewable energy development, and must be evaluated. The proposed resource curse risk assessment framework can be applied to individual contexts to help countries, companies, sectors, or projects maximise the positive outcomes of renewable energy development and avoid a renewable energy resource curse.",7035e71f-2f85-49b1-b97c-ea7d9b438d07,The resource curse in renewable energy: A framework for risk assessment,http://creativecommons.org/licenses/by/4.0/
10.1016/j.tranpol.2022.12.007,"Road transport accounts for around 12% of global greenhouse gas (GHG) emissions. As many high-income countries are moving to decarbonise their road vehicle fleets, Kyrgyzstan – with rapid growth in passenger car ownership – is seeing a significant increase in transport-related GHG emissions and air pollution in urban areas. Whilst a transition to electric vehicles (EVs) is a key part of Kyrgyzstan’s Nationally Determined Contribution to the Paris Agreement, the potential for successful EV deployment in the region is under-researched. To fill this research gap, this paper presents an assessment of the potential for EV deployment in Kyrgyzstan. Firstly, we present an investigation of the policy and institutional landscape relating to transport and the promotion of EVs in Kyrgyzstan. Secondly, based on research of 50,000 car sales and interviews with 23 key stakeholders in the country, we present analysis of the existing Kyrgyz vehicle fleet. Thirdly, using information ascertained from the interviews and desk-based research, we conduct a Total Cost of Ownership assessment of EVs versus internal combustion engine vehicles (ICEVs) in the Kyrgyz context. We find that under the current conditions, EVs can have a lower total cost of ownership against similar ICEVs in Kyrgyzstan. However, it is evident that this is not typically the case: the analysis in this paper suggests that cost-competitiveness between EVs and ICEVs is more likely for larger and higher-powered vehicles, for which the ICEV version has a higher retail price. Finally, combining analysis of these results and analysis of the current conditions in Kyrgyzstan, trajectories for EV adoption in geographically and economically similar nations, and data from expert stakeholder interviews, we propose a set of policy recommendations to accelerate EV uptake in Kyrgyzstan.",94700b64-e1d8-4716-9bf6-bde5d3a0f26f,Putting the foot down: Accelerating EV uptake in Kyrgyzstan,http://creativecommons.org/licenses/by/4.0/
10.1038/s41893-021-00721-7,"Sustainably transitioning to electric vehicles is challenging where transport and electricity systems are poorly defined due to a lack of data, such as those dominated by paratransit (informal, privately owned ‘public’ transport). We call for a more systemic approach to data collection as a key enabler for this transition.",93d05c7e-0376-432a-b209-9a31ab01b7ce,Data needed to decarbonize paratransit in Sub-Saharan Africa,https://www.springernature.com/gp/researchers/text-and-data-mining
10.1016/j.dib.2022.108691,"The 2019 Energy Act requires each of Kenya’s 47 counties to independently develop energy plans. As county energy planning accelerates, it is important to understand the availability and readiness of data required to facilitate it. This article identifies, evaluates, and pre-processes openly available data to facilitate county-level energy planning using the Open Source Spatial Electrification Tool (OnSSET) in Kitui County, Kenya. In this way, it provides a ready-to-use starter kit of data inputs for county-level OnSSET analysis, and guidance to replicate this work in other counties. We classify the readiness level of each data type for county energy planning on a traffic light scale (i.e. green, amber, red) based on availability, accessibility, recency, accuracy, spatial resolution, and format (i.e. whether processing is required before use). Of the 25 core data inputs for OnSSET at the county-level, we find that 14 have a green, six have an amber, and five have a red readiness-level. Data processing requirements are documented, and the processed data for Kitui county are made available as a ready-to-use set of input parameters for OnSSET. While this data was collected for Kitui, the data sources and processing steps are largely applicable in other counties.",e27fbbbc-c2ff-476a-ab40-47b3a223a1b0,"Spatial Data Starter Kit for OnSSET Energy Planning in Kitui County, Kenya",http://creativecommons.org/licenses/by/4.0/
10.1016/j.esd.2022.07.006,"The 2030 Agenda for Sustainable Development calls for the achievement of universal access to affordable, reliable, sustainable and modern energy for all. To fulfil this ambition, least developed countries need to mobilise enormous investments in a short amount of time. Deciding the extent, priority and timing of these investments is a hard task, for which many governments currently lack internal resources. Development Partners are supporting these efforts by contributing to the national energy planning ecosystems. In this comment, we focus on the role of Development Partners. We reflect on the approach to support strategic energy planning they took so far and on how they may improve it to further – and more effectively - support countries where demand arises. We take the example of one recent capacity development effort in Sierra Leone. We highlight that academia is one pillar of the national energy planning ecosystem, and conclude that academic partnerships play a critical role in changing the paradigm from short-term capacity transfer to a more sustainable capacity development. Formalised academic partnerships may increase the retention of capacity and support national planning ecosystems in becoming more self-sustained. Increased knowledge sharing on best open practices for energy data and model infrastructure may further support the ecosystem by improving the communication between academia, government and utilities.",70aa944a-67f8-4c9c-8fe5-8248039a31b7,Supporting a self-sustained energy planning ecosystem: Lessons from Sierra Leone,http://creativecommons.org/licenses/by/4.0/
10.1007/s13280-022-01757-5,"The COVID-19 pandemic and related social and economic emergencies induced massive public spending and increased global debt. Economic recovery is now an opportunity to rebuild natural capital alongside financial, physical, social and human capital, for long-term societal benefit. Yet, current decision-making is dominated by economic imperatives and information systems that do not consider society’s dependence on natural capital and the ecosystem services it provides. New international standards for natural capital accounting (NCA) are now available to integrate environmental information into government decision-making. By revealing the effects of policies that influence natural capital, NCA supports identification, implementation and monitoring of Green Recovery pathways, including where environment and economy are most positively interlinked.",17746a4b-c6d2-4920-8a35-cc5e393270ac,From COVID-19 to Green Recovery with natural capital accounting,https://creativecommons.org/licenses/by/4.0
10.1016/j.esr.2021.100759,"The COVID-19 pandemic has affected the economy of Tunisia, like that of many other countries. With electricity consumption dropping, consumption patterns changing, international fuel prices oscillating and uncertainty raging, the pandemic has affected not least the planning of investments in electricity supply. Although the government seems unlikely to revise the decarbonisation targets downwards, questions arise on whether the investments planned before the pandemic are still relevant in the changed global landscape and what effects they may have on the country's economy. In this study, we analyse post-pandemic scenarios for the electricity supply system of Tunisia with an energy-economy modelling framework, soft-linking the energy modelling tool OSeMOSYS and an open source Input-Output model. We extract insights on the cost-competitiveness of different – previously planned and new – electricity supply solutions and their impacts on job creation and loss in the entire economy. We find that renewable solutions based on solar photovoltaic remain highly competitive with gas-fired generation under different projections of gas prices and that several low-carbon and energy efficiency solutions have high potential for job creation. We also find that more ambitious investments in renewables and energy efficiency are needed to take Tunisia towards the path of deep decarbonisation.",7d682e80-ae14-49e8-bc98-fad0e6b074e4,A scenario analysis of potential long-term impacts of COVID-19 on the Tunisian electricity sector,http://creativecommons.org/licenses/by/4.0/
10.1016/j.progress.2022.100657,"The COVID-19 pandemic highlighted the need for decision-support tools to help cities become more resilient to infectious diseases. Through urban design and planning, non-pharmaceutical interventions can be enabled, impelling behaviour change and facilitating the construction of lower risk buildings and public spaces. Computational tools, including computer simulation, statistical models, and artificial intelligence, have been used to support responses to the current pandemic as well as to the spread of previous infectious diseases. Our multidisciplinary research group systematically reviewed state-of-the-art literature to propose a toolkit that employs computational modelling for various interventions and urban design processes. We selected 109 out of 8,737 studies retrieved from databases and analysed them based on the pathogen type, transmission mode and phase, design intervention and process, as well as modelling methodology (method, goal, motivation, focus, and indication to urban design). We also explored the relationship between infectious disease and urban design, as well as computational modelling support, including specific models and parameters. The proposed toolkit will help designers, planners, and computer modellers to select relevant approaches for evaluating design decisions depending on the target disease, geographic context, design stages, and spatial and temporal scales. The findings herein can be regarded as stand-alone tools, particularly for fighting against COVID-19, or be incorporated into broader frameworks to help cities become more resilient to future disasters.",fc24b776-fcf0-4369-a069-3d82e0f1d69f,Computational decision-support tools for urban design to improve resilience against COVID-19 and other infectious diseases: A systematic review,[]
10.1016/j.dib.2021.107734,"This article describes a dataset of perceived values and socioeconomic indicators collected in rural Ugandan communities. The data were collected in interviews which employed: (1) the User-Perceived Value game, which solicits verbal data using graphical prompts and ‘why’-probing; and (2) socio-economic surveys, which collected demographic data. The dataset constitutes 119 interviews conducted between 2014 and 2015 in seven rural Ugandan villages. Interviews were conducted in various settings (e.g. individual/group, women/men/mixed) and in seven different local languages (which were subsequently translated into English). These interviews were part of a research project aiming to better understand what is important to rural communities in Uganda, and to investigate decision-making as a function of different demographics. This dataset can be used by researchers and practitioners in various fields such as sustainable development (e.g. to analyze how development initiatives may be designed to match community values) and natural language processing (e.g. to automatically perform perceived value classification from the expert-annotated interviews).",786c66c6-10fe-4b0f-bd15-10d5dd8e6735,Perceived value interviews and socio-economic survey data for communities in rural Uganda,http://creativecommons.org/licenses/by/4.0/
10.1016/j.dib.2022.108262,"This article presents a geolocated dataset of rural home annotations on very high resolution satellite imagery from Uganda, Kenya, and Sierra Leone. This dataset was produced through a citizen science project called “Power to the People”, which mapped rural homes for electrical infrastructure planning and computer-vision-based mapping. Additional details on this work are presented in “Power to the People: Applying citizen science to home-level mapping for rural energy access” [1]. 578,010 home annotations were made on approximately 1,267 km2 of imagery over 179 days by over 6,000 volunteers. The bounding-box annotations produced in this work have been anonymized and georeferenced. These raw annotations were found to have a precision of 49% and recall of 93% compared to a researcher-generated set of gold standard annotations. Data on roof colour and shape were also collected and are provided. Metadata about the sensors used to capture the original images and the annotation process are also attached to data records. While this dataset was collected for electrical infrastructure planning research, it can be useful in diverse sectors, including humanitarian assistance and public health.",01e7b79b-9618-438c-9de1-a9bbf0d244d1,Rural Home Annotation Dataset Mapped by Citizen Scientists in Satellite Imagery,http://creativecommons.org/licenses/by/4.0/
10.1016/j.esr.2021.100714,"This paper presents the first application of the scenario discovery approach in geospatial electrification modelling. 1944 electrification simulations were constructed for Burkina Faso from a combination seven input levers, including four grid-extension strategies. The scenario discovery analysis identifies a scenario described by a high grid electricity generation cost in combination with an intensification strategy for grid-extension, as most likely to lead to a high cost of electricity in Burkina Faso. Thus, to avoid such a high cost, decisions in the country could be targeted either at lowering grid electricity generation costs or to choose one of the other two grid-extension strategies, or both. For each of the grid-extension strategies, a number of drivers causing a high LCOE were identified. Common drivers for all strategies were the grid electricity generation cost and discount rate. The scenario discovery approach was used to identify the key drivers of high electrification costs and their interactions, providing useful information that might not be gained from a traditional scenario-axes approach. This approach provided a structured way to analyze more parameters than found in previous electrification studies for Burkina Faso. The paper discusses on the pros compared to a traditional scenario-axes approach, such as reduced risk of perceived bias and improved ability to deal with multiple uncertain parameters, but also notes the additional computational requirements.",9e77e6ef-8e6c-452e-b778-3d6779cfc475,A scenario discovery approach to least-cost electrification modelling in Burkina Faso,http://creativecommons.org/licenses/by/4.0/
10.1007/978-3-031-20179-0_3,"This paper proposes an agent-based simulation model of activities within an urban environment to evaluate alternative transport-oriented development (TOD) designs and infrastructure investment proposals prepared by urban planners. The students test the model as model users, and the generated model output on the use of the city infrastructure, occupancy of public space, and key data around the pedestrian and vehicle movements can be translated to design modifications by comparing results with desired targets. This provides valuable scenarios to key stakeholders in the design. A particular challenge with using simulation models as part of the decision-making process is the need to include realistic data for the behaviour of the transport system users. To this end, an experiment was conducted in which data on the individual behaviour and activities was collected, which can be integrated into the simulation model to capture realistic responses to TOD proposals. Illustrative results are shown, demonstrating the model can produce meaningful results for planners but also highlights the role of agent-based simulation models in steering the data collection process and engaging with decision-makers.",6d82605a-4b5d-4c5a-9360-6dd8ee3a6051,Data-Driven Agent-Based Model Development to Support Human-Centric Transit-Oriented Design,https://www.springer.com/tdm
10.1016/j.jag.2022.102748,"To implement effective rural electricity access systems, it is fundamental to identify where potential consumers live. Here, we test the suitability of citizen science paired with satellite imagery and computer vision to map remote off-grid homes for electrical system design. A citizen science project called “Power to the People” was completed on the Zooniverse platform to collect home annotations in Uganda, Kenya, and Sierra Leone. Thousands of citizen scientists created a novel dataset of 578,010 home annotations with an average mapping speed of 7 km2/day. These data were post-processed with clustering to determine high-consensus home annotations. The raw annotations achieved a recall of 93% and precision of 49%; clustering the annotations increased precision to 69%. These were used to train a Faster R-CNN object detection model, producing detections useful as a first pass for home-level mapping with a feasible mapping rate of 42,938 km2/day. Detections achieved a precision of 67% and recall of 36%. This research shows citizen science and computer vision to be a promising pipeline for accelerated rural home-level mapping to enable energy system design.",f0feda8f-afc5-41d6-a7eb-f9faeedcf08b,Power to the people: Applying citizen science and computer vision to home mapping for rural energy access,http://creativecommons.org/licenses/by/4.0/
10.1016/j.esr.2021.100722,"Transport is an integral component of the energy system, and in Sub-Saharan Africa the demand for transport has been increasing due in part to population growth and economic development. To demonstrate the extent of this increased demand, emissions from transport in Africa grew by 84% over 6 years last decade [1] until, in 2018 in Sub-Saharan Africa, 15% of final energy consumption was demanded by the transport sector [2]. However, a global system change is underway for road passenger transport: a transition from polluting internal combustion engine vehicles to low-emission electric vehicles. Sub-Saharan Africa will not be immune to this transition, especially as a region which currently depends heavily on the import of second-hand vehicles [3]; not to mention the emission and air quality benefits electric vehicles can offer. Yet, by 2019 only 500 electric vehicles were on the roads in South Africa [4]. In this Viewpoint, we aim to dispel concerns that electric vehicles are always unaffordable and will cripple the already overloaded power systems in Sub-Saharan Africa. Instead, we propose that with innovative thinking and context-specific approaches and technologies, different from those in High-Income Countries, electric vehicles could in fact offer benefits to governments, the power systems, and vehicle owner-operators in Sub-Saharan Africa. We lay out how the historically siloed transport and electricity sectors could evolve to support each other in the future.",0cd1544c-39ac-4251-8796-5d50df4b1ea9,Can electric vehicles be good for Sub-Saharan Africa?,http://creativecommons.org/licenses/by/4.0/
